Fold,Benign,Malware,Total,Benign_Pct,Malware_Pct,Accuracy,AUC
1,107,12,119,89.91596638655463,10.084033613445378,0.9917355371900827,0.9907407407407407
2,107,12,119,89.91596638655463,10.084033613445378,1.0,1.0
3,107,12,119,89.91596638655463,10.084033613445378,1.0,1.0
4,107,12,119,89.91596638655463,10.084033613445378,1.0,1.0
5,107,12,119,89.91596638655463,10.084033613445378,1.0,1.0
6,107,12,119,89.91596638655463,10.084033613445378,1.0,1.0
7,107,12,119,89.91596638655463,10.084033613445378,0.9917355371900827,0.9935897435897436
8,107,12,119,89.91596638655463,10.084033613445378,1.0,1.0
9,107,12,119,89.91596638655463,10.084033613445378,1.0,1.0
10,116,20,136,85.29411764705883,14.705882352941178,0.9916666666666667,0.9230769230769231
